sbi_trust_code,ER,title,fee,last_day,firm
20431B214,0.3771,大和－ｉＦｒｅｅレバレッジ,1.224％程度,無期限,大和アセットマネジメント
204314208,0.289,大和－ｉＦｒｅｅレバレッジ,1.275％以内,無期限,大和アセットマネジメント
28931317C,0.2606,ＳＢＩ－ＳＢＩ,0.968%,2023/12/05,ＳＢＩアセットマネジメント
29I31115A,0.2606,楽天－楽天日本株４．３倍ブル,1.243%,2025/06/13,楽天投信投資顧問
20431720A,0.2446,大和－ＮＡＳＤＡＱ１００,通常時1.52375％以内／安定運用時0.088％,2023/10/20,大和アセットマネジメント
203312215,0.2322,三菱ＵＦＪ国際－ｅＭＡＸＩＳ,null,null,null
289313218,0.2285,ＳＢＩ－ＳＢＩ・ＧＳ,0.48％程度,無期限,ＳＢＩアセットマネジメント
204315213,0.2283,大和－ｉＦｒｅｅＮＥＸＴ,null,null,null
210311222,0.2228,Ｔ＆Ｄ－Ｓ＆Ｐ５００・４倍ブル型ファンド,1.243％,2025/02/17,Ｔ＆Ｄアセットマネジメント
204313215,0.2183,大和－テーマレバレッジ,1.4055％程度,2026/03/27,大和アセットマネジメント
202311207,0.2036,日興－デジタル・トランスフォーメーション株式ファンド,1.7985％,2030/06/07,日興アセットマネジメント
202311215,0.2002,日興－デジタル・トランスフォーメーション株式ファンド（予想分配金提示型）,1.7985％,2030/06/07,日興アセットマネジメント
204312217,0.1992,大和－ｉＦｒｅｅＮＥＸＴ,null,null,null
204311181,0.1955,大和－ｉＦｒｅｅＮＥＸＴ,null,null,null
289312218,0.1917,ＳＢＩ－ＳＢＩ・ＧＳ,0.48％程度,無期限,ＳＢＩアセットマネジメント
204314214,0.1909,大和－テーマレバレッジ,1.4055％程度,2026/03/27,大和アセットマネジメント
20331419B,0.1883,三菱ＵＦＪ国際－米国ＩＰＯニューステージ・ファンド＜為替ヘッジなし＞年２回決算型,null,null,null
20331319B,0.1882,三菱ＵＦＪ国際－米国ＩＰＯニューステージ・ファンド＜為替ヘッジなし＞資産成長型,null,null,null
203313215,0.1824,三菱ＵＦＪ国際－ｅＭＡＸＩＳ,null,null,null
279311169,0.1806,三井住友ＤＳ－グローバルＡＩファンド,null,null,null
204312212,0.1783,大和－ｉＦｒｅｅレバレッジ,1.169％程度,無期限,大和アセットマネジメント
20231116C,0.1772,日興－グローバル・フィンテック株式ファンド,1.925%,2026/12/07,日興アセットマネジメント
29I311096,0.1771,楽天－楽天日本株トリプル・ブル,1.023%,2025/06/13,楽天投信投資顧問
202312179,0.1767,日興－グローバル・フィンテック株式ファンド（年２回決算型）,null,null,null
29A311128,0.1687,キャピタル－世界シェールガス株ファンド,null,null,null
289311218,0.1685,ＳＢＩ－ＳＢＩ・ＧＳ,0.48％程度,無期限,ＳＢＩアセットマネジメント
27931419A,0.1668,三井住友ＤＳ－グローバルＡＩファンド（予想分配金提示型）,null,null,null
247312201,0.1653,Ｏｎｅ－Ｏｎｅフォーカス,null,null,null
203312223,0.1649,三菱ＵＦＪ国際－ｅＭＡＸＩＳ,null,null,null
26431218A,0.1613,三井住友ＴＡＭ－ＳＭＴ,null,null,null
