sbi_trust_code,ER,title,fee,last_day,firm
20431B214,0.5736,大和－ｉＦｒｅｅレバレッジ,1.224％程度,無期限,大和アセットマネジメント
204315213,0.3312,大和－ｉＦｒｅｅＮＥＸＴ,null,null,null
20231217B,0.1842,日興－深セン・イノベーション株式ファンド（１年決算型）,null,null,null
20331E13A,0.1803,三菱ＵＦＪ国際－三菱ＵＦＪ,1.815%,2023/10/11,三菱ＵＦＪ国際投信
20331713A,0.1755,三菱ＵＦＪ国際－三菱ＵＦＪ,1.815%,2023/10/11,三菱ＵＦＪ国際投信
251311021,0.1615,ＨＳＢＣ－ＨＳＢＣ,null,null,null
250311092,0.1575,ＵＢＳ－ＵＢＳ原油先物ファンド,null,null,null
27931C01A,0.1414,三井住友ＤＳ－三井住友・ニュー・チャイナ・ファンド,null,null,null
203317211,0.1401,三菱ＵＦＪ国際－ベイリー・ギフォード世界長期成長株ファンド（予想分配金提示型）,1.6445％程度,2039/01/25,三菱ＵＦＪ国際投信
203311191,0.1395,三菱ＵＦＪ国際－ベイリー・ギフォード世界長期成長株ファンド,1.6445%程度,2039/01/25,三菱ＵＦＪ国際投信
21731798B,0.1378,ＪＰＭ－ＪＰＭアジア株・アクティブ・オープン,null,null,null
289311217,0.1334,ＳＢＩ－ＳＢＩ・中国Ａ株インデックス・ファンド,0.4138％程度,無期限,ＳＢＩアセットマネジメント
101315203,0.1306,野村－野村ブル・ベア,1.122％,2023/03/15,野村アセットマネジメント
289312203,0.1302,ＳＢＩ－ＳＢＩ中国テクノロジー株ファンド,null,null,null
217311917,0.1219,ＪＰＭ－ＪＰＭアジア・成長株・ファンド,null,null,null
101314203,0.1193,野村－野村ブル・ベア,1.155％,2023/03/15,野村アセットマネジメント
204314214,0.1148,大和－テーマレバレッジ,1.4055％程度,2026/03/27,大和アセットマネジメント
20431216C,0.1052,大和－ベトナム株ファンド,null,null,null
24831L139,0.1036,ブラックロック－ｉシェアーズ,1.0085%程度,無期限,ブラックロック・ジャパン
233311963,0.1035,ベアリングス－アジア未来成長株式ファンド,null,null,null
2AB311171,0.1019,ファイブスター－ベトナム・ロータス・ファンド,null,null,null
29A311128,0.1015,キャピタル－世界シェールガス株ファンド,null,null,null
29A311148,0.101,キャピタル－ベトナム成長株インカムファンド,null,null,null
204314181,0.0951,大和－ｉＦｒｅｅＡｃｔｉｖｅ,1.221%,2028/01/28,大和アセットマネジメント
247311156,0.0932,Ｏｎｅ－ＤＩＡＭベトナム株式ファンド,null,null,null
203312215,0.0913,三菱ＵＦＪ国際－ｅＭＡＸＩＳ,null,null,null
20331C177,0.0892,三菱ＵＦＪ国際－ｅＭＡＸＩＳ,0.187%以内,無期限,三菱ＵＦＪ国際投信
20331809A,0.0889,三菱ＵＦＪ国際－ｅＭＡＸＩＳ新興国株式インデックス,null,null,null
247311163,0.0883,Ｏｎｅ－たわらノーロード,0.374%以内,無期限,アセットマネジメントＯｎｅ
210311202,0.0879,Ｔ＆Ｄ－Ｔ＆Ｄ,null,null,null
