ＳＢＩ－ＳＢＩ・Ｖ・Ｓ＆Ｐ５００インデックス・ファンド	ＳＢＩアセットマネジメント	+3.98%	2019/09/26	無期限	0.0938%程度	601,546百万円	「バンガード・S&amp;P500ETF」を通して、米国の代表的な株価指数であるS&amp;P500指数（円換算ベース）に連動する投資成果をめざします。	https://site0.sbisec.co.jp//marble/fund/detail/achievement.do?s_rflg=1&Param6=289311199&int_fd=fund:psearch:search_result
三菱ＵＦＪ国際－ｅＭＡＸＩＳ	三菱ＵＦＪ国際投信	+3.69%	2018/10/31	無期限	0.1144%以内	573,150百万円	日本を含む先進国ならびに新興国の株式に投資し、ＭＳＣＩオール・カントリー・ワールド・インデックス（配当込み、円換算ベース）に連動する投資成果をめざして運用を行います。	https://site0.sbisec.co.jp//marble/fund/detail/achievement.do?s_rflg=1&Param6=20331418A&int_fd=fund:psearch:search_result
三菱ＵＦＪ国際－ｅＭＡＸＩＳ	三菱ＵＦＪ国際投信	+4.07%	2018/07/03	無期限	0.0968%以内	1,292,662百万円	米国の株式に投資し、Ｓ＆Ｐ５００指数（配当込み、円換算ベース）に連動する投資成果をめざして運用を行います。原則として為替ヘッジは行いません。	https://site0.sbisec.co.jp//marble/fund/detail/achievement.do?s_rflg=1&Param6=203311187&int_fd=fund:psearch:search_result
ＳＢＩ－ＳＢＩ・Ｖ・全米株式インデックス・ファンド	ＳＢＩアセットマネジメント	+1.97%	2021/06/29	無期限	0.0938％程度	84,769百万円	「バンガード・トータル・ストック・マーケットETF」を通じてCRSPUSトータル・マーケット・インデックス（円換算ベース）に連動する投資成果を目指します。	https://site0.sbisec.co.jp//marble/fund/detail/achievement.do?s_rflg=1&Param6=289311216&int_fd=fund:psearch:search_result
ＳＢＩ－ＳＢＩ	ＳＢＩアセットマネジメント	-19.10%	2020/03/17	2023/03/16	0.913％	11,126百万円	株価指数先物取引を積極的に活用し、日々の基準価額の値動きがわが国の株式市場全体の値動きの概ね3.8倍程度逆となる投資成果を目指して運用を行います。	https://site0.sbisec.co.jp//marble/fund/detail/achievement.do?s_rflg=1&Param6=289311203&int_fd=fund:psearch:search_result
ニッセイ－＜購入・換金手数料なし＞ニッセイ外国株式インデックスファンド	ニッセイアセットマネジメント	+4.00%	2013/12/10	無期限	0.1023%以内	410,195百万円	日本を除く主要先進国の株式に投資することにより、ＭＳＣＩコクサイインデックス（配当込み、円換算ベース）に連動する投資成果をめざします。購入時および換金時の手数料は無料です。	https://site0.sbisec.co.jp//marble/fund/detail/achievement.do?s_rflg=1&Param6=22931113C&int_fd=fund:psearch:search_result
大和－ｉＦｒｅｅレバレッジ	大和アセットマネジメント	-43.64%	2018/10/19	無期限	0.99%	145,604百万円	日々の基準価額の値動きがNASDAQ100指数（米ドルベース）の値動きの2倍程度となることをめざします。株式の組入総額と株価指数先物取引の買建玉の時価総額の合計額が、原則として信託財産の純資産総額の2倍程度になるように調整します。	https://site0.sbisec.co.jp//marble/fund/detail/achievement.do?s_rflg=1&Param6=20431218A&int_fd=fund:psearch:search_result
三菱ＵＦＪ国際－ｅＭＡＸＩＳ	三菱ＵＦＪ国際投信	+4.10%	2017/02/27	無期限	0.1023%以内	345,897百万円	ＭＳＣＩコクサイ・インデックス（配当込み、円換算ベース）と連動する投資成果をめざして運用を行います。原則として、為替ヘッジは行いません。	https://site0.sbisec.co.jp//marble/fund/detail/achievement.do?s_rflg=1&Param6=203319172&int_fd=fund:psearch:search_result
ＳＢＩ－ＳＢＩ	ＳＢＩアセットマネジメント	-17.38%	2017/12/19	2023/12/05	0.968%	28,572百万円	わが国の公社債に投資するとともに、株価指数先物取引を積極的に活用し、日々の基準価額の値動きがわが国の株式市場全体の値動きの概ね4.3倍程度となる投資成果を目指して運用を行います。	https://site0.sbisec.co.jp//marble/fund/detail/achievement.do?s_rflg=1&Param6=28931317C&int_fd=fund:psearch:search_result
三菱ＵＦＪ国際－ｅＭＡＸＩＳ	三菱ＵＦＪ国際投信	+3.93%	2018/03/19	無期限	0.1144%以内	150,750百万円	日本を除く先進国ならびに新興国の株式に投資し、ＭＳＣＩオール・カントリー・ワールド・インデックス（除く日本、配当込み、円換算ベース）に連動する投資成果をめざして運用を行います。原則として為替ヘッジは行いません。	https://site0.sbisec.co.jp//marble/fund/detail/achievement.do?s_rflg=1&Param6=203316183&int_fd=fund:psearch:search_result
楽天－楽天・全米株式インデックス・ファンド	楽天投信投資顧問	+1.89%	2017/09/29	無期限	0.162%程度	604,368百万円	米国株式市場の動きをとらえることを目指して、CRSPUSトータル・マーケット・インデックス（円換算ベース）に連動する投資成果を目標として運用を行います。	https://site0.sbisec.co.jp//marble/fund/detail/achievement.do?s_rflg=1&Param6=29I312179&int_fd=fund:psearch:search_result
ＳＢＩ－ＳＢＩ・全世界株式インデックス・ファンド	ＳＢＩアセットマネジメント	+3.33%	2017/12/06	無期限	0.1102%程度	63,242百万円	全世界の株式市場の動きを捉えることを目指して、ＦＴＳＥグローバル・オールキャップ・インデックス（円換算ベース）に連動する投資成果を目標として運用を行います。	https://site0.sbisec.co.jp//marble/fund/detail/achievement.do?s_rflg=1&Param6=28931217C&int_fd=fund:psearch:search_result
三菱ＵＦＪ国際－ｅＭＡＸＩＳ	三菱ＵＦＪ国際投信	+2.31%	2017/05/09	無期限	0.154%以内	151,456百万円	各投資対象資産の指数を均等比率で組み合わせた合成ベンチマークに連動する成果をめざして運用を行います。各マザーファンド等を通じて、日本を含む世界各国の株式（ＤＲ（預託証書）を含む）、公社債および不動産投資信託証券（リート）に実質的な投資を行います。原則として、為替ヘッジは行いません。	https://site0.sbisec.co.jp//marble/fund/detail/achievement.do?s_rflg=1&Param6=203312175&int_fd=fund:psearch:search_result
三菱ＵＦＪ国際－ｅＭＡＸＩＳ	三菱ＵＦＪ国際投信	-9.00%	2021/01/29	無期限	0.44％以内	45,530百万円	米国の株式市場（ＮＡＳＤＡＱ１００指数（配当込み、円換算ベース））の値動きに連動する投資成果をめざします。	https://site0.sbisec.co.jp//marble/fund/detail/achievement.do?s_rflg=1&Param6=20331A211&int_fd=fund:psearch:search_result
レオス－ひふみプラス	レオス・キャピタルワークス	-10.68%	2012/05/28	無期限	1.078%以内	464,887百万円	ひふみ投信マザーファンドを通じて、国内外の上場株式を主要な投資対象とし、市場価値が割安と考えられる銘柄を選別して長期的に投資します。実質的に信託財産の総額の50％までを株式以外への資産で保有できる仕組みにすることで、株式の上昇が予測される局面では株式の組入比率を高め、一方で下落が予想される局面では株式を売却、組入比率を低めることにより、資産を守りながらふやす運用を行います。	https://site0.sbisec.co.jp//marble/fund/detail/achievement.do?s_rflg=1&Param6=29C311125&int_fd=fund:psearch:search_result
ＳＢＩ－ＳＢＩ・Ｖ・全世界株式インデックス・ファンド	ＳＢＩアセットマネジメント	-	null	null	0.1338％程度	10,080百万円	全世界の株式市場の動きを捉えることをめざすFTSEグローバル・オールキャップ・インデックス（円換算ベース）に連動する「バンガード・トータル・ワールド・ストックETF」へ投資します。	https://site0.sbisec.co.jp//marble/fund/detail/achievement.do?s_rflg=1&Param6=289311221&int_fd=fund:psearch:search_result
ＳＢＩ－ＳＢＩ・Ｖ・米国高配当株式インデックス・ファンド	ＳＢＩアセットマネジメント	+20.83%	2021/06/29	無期限	0.1238％程度	12,116百万円	「バンガード・米国高配当株式ETF」を通じてFTSEハイディビデンド・イールド・インデックス（円換算ベース）に連動する投資成果を目指します。	https://site0.sbisec.co.jp//marble/fund/detail/achievement.do?s_rflg=1&Param6=289312216&int_fd=fund:psearch:search_result
大和－ダイワＪ－ＲＥＩＴオープン（毎月分配型）	大和アセットマネジメント	-12.27%	2004/05/18	無期限	0.792%	418,706百万円	東京証券取引所上場の不動産投信全銘柄を対象とする時価総額加重平均の指数「東証ＲＥＩＴ指数」に連動する運用成果を目指す、毎月分配型の商品です。	https://site0.sbisec.co.jp//marble/fund/detail/achievement.do?s_rflg=1&Param6=204311045&int_fd=fund:psearch:search_result
ニッセイ－ニッセイ日経２２５インデックスファンド	ニッセイアセットマネジメント	-0.76%	2004/01/28	無期限	0.275%	204,493百万円	「ニッセイ日経225インデックスマザーファンド」を通じて、実質的に国内の証券取引所上場株式に投資することにより、日経平均株価（225種・東証）の動きに連動する成果を目標に運用を行います。	https://site0.sbisec.co.jp//marble/fund/detail/achievement.do?s_rflg=1&Param6=229311041&int_fd=fund:psearch:search_result
アライアンス－アライアンス・バーンスタイン米国成長株投信Ｄ毎月Ｈ無予想分配金提示	アライアンス・バーンスタイン	-15.07%	2014/09/16	2034/06/15	1.727%	1,825,476百万円	成長の可能性が高いと判断される米国株式に投資します。高い利益成長もしくは持続的な利益成長の可能性が高いと判断される企業を発掘します。企業のファンダメンタルズ分析と株価バリュエーションに基づく銘柄選択を基本としたアクティブ運用を行います。毎月決算を行い、毎計算期末の前営業日の基準価額に応じた分配を目指します。「Ｃコース(為替ヘッジあり）」と「Ｄコース（為替ヘッジなし）」の２本からお選びいただけます。	https://site0.sbisec.co.jp//marble/fund/detail/achievement.do?s_rflg=1&Param6=239312149&int_fd=fund:psearch:search_result
ニッセイ－＜購入・換金手数料なし＞ニッセイ外国株式インデックスファンド	ニッセイアセットマネジメント	+4.00%	2013/12/10	無期限	0.1023%以内	410,195百万円	日本を除く主要先進国の株式に投資することにより、ＭＳＣＩコクサイインデックス（配当込み、円換算ベース）に連動する投資成果をめざします。購入時および換金時の手数料は無料です。	https://site0.sbisec.co.jp//marble/fund/detail/achievement.do?s_rflg=1&Param6=22931113C&int_fd=fund:psearch:search_result
日興－グローバル・ロボティクス株式ファンド（年２回決算型）	日興アセットマネジメント	-16.75%	2015/08/31	2025/07/22	1.936%	403,210百万円	世界各国の株式の中から主にロボティクス関連企業の株式に投資を行ないます。銘柄選定は、株式のアクティブ運用に注力するラザード社が、徹底した調査に基づき行ないます。年２回、決算を行ないます。基準価額水準が1万円（1万口当たり）を超えている場合には、分配対象額の範囲内で積極的に分配を行ないます。	https://site0.sbisec.co.jp//marble/fund/detail/achievement.do?s_rflg=1&Param6=202312158&int_fd=fund:psearch:search_result
三井住友ＴＡＭ－Ｊ－ＲＥＩＴ・リサーチ・オープン（毎月決算型）	三井住友トラスト・アセットマネジメント	-6.83%	2005/01/17	無期限	1.1%	383,938百万円	J-REITに投資し、安定したインカムゲイン（J-REITから得られる配当等の収益）の確保と投資信託財産の中長期的な成長を目指して運用を行います｡毎月の安定分配を目指します。	https://site0.sbisec.co.jp//marble/fund/detail/achievement.do?s_rflg=1&Param6=264311051&int_fd=fund:psearch:search_result
三井住友ＤＳ－グローバルＡＩファンド	三井住友ＤＳアセットマネジメント	-19.96%	null	null	1.925%	349,665百万円	世界の上場株式の中から、AI（人工知能）の進化、応用により高い成長が期待される企業の株式に投資を行います。ＡＩテクノロジーの開発のほか、ＡＩの開発に必要なコンピューティング技術、ＡＩを活用したサービス、ソフトウェア・アプリケーションの提供を行う企業や、ＡＩを活用したサービスを駆使して自社ビジネスを成長させる企業等に投資を行います。原則として対円での為替ヘッジは行いません。	https://site0.sbisec.co.jp//marble/fund/detail/achievement.do?s_rflg=1&Param6=279311169&int_fd=fund:psearch:search_result
三菱ＵＦＪ国際－ｅＭＡＸＩＳ	三菱ＵＦＪ国際投信	+4.10%	2017/02/27	無期限	0.1023%以内	345,897百万円	ＭＳＣＩコクサイ・インデックス（配当込み、円換算ベース）と連動する投資成果をめざして運用を行います。原則として、為替ヘッジは行いません。	https://site0.sbisec.co.jp//marble/fund/detail/achievement.do?s_rflg=1&Param6=203319172&int_fd=fund:psearch:search_result
三菱ＵＦＪ国際－サイバーセキュリティ株式オープン（為替ヘッジなし）	三菱ＵＦＪ国際投信	-19.57%	2017/07/13	2032/06/04	1.87%	337,680百万円	日本を含む世界のサイバーセキュリティ関連企業の株式に投資します。サイバーセキュリティの需要拡大および技術向上の恩恵を享受すると考えられる企業の株式の中から、持続的な利益成長性、市場優位性、財務健全性、株価水準等を考慮して組入銘柄を選定します。（為替ヘッジあり）と（為替ヘッジなし）からお選びいただけます。	https://site0.sbisec.co.jp//marble/fund/detail/achievement.do?s_rflg=1&Param6=203315177&int_fd=fund:psearch:search_result
日興－グローバル・ロボティクス株式ファンド（１年決算型）	日興アセットマネジメント	-9.41%	2015/08/31	2025/07/22	1.936%	335,163百万円	世界各国の株式の中から主にロボティクス関連企業の株式に投資を行ないます。銘柄選定は、株式のアクティブ運用に注力するラザード社が、徹底した調査に基づき行ないます。年1回、決算を行ないます。	https://site0.sbisec.co.jp//marble/fund/detail/achievement.do?s_rflg=1&Param6=202311158&int_fd=fund:psearch:search_result
日興－スマート・ファイブ（毎月決算型）	日興アセットマネジメント	-1.95%	2013/07/16	2028/04/10	1.47175％以内	334,874百万円	中長期的に収益が期待できる5つの資産（日本国債、海外債券、グローバル株式、グローバルREIT、金）を主要投資対象とします。基準価額の変動抑制効果を高めながら魅力的な収益を追求することをめざして、5資産の配分比率を決定します。また、この比率は定期的に見直します。原則として、為替ヘッジは行ないません。毎月8日に決算を行ないます。	https://site0.sbisec.co.jp//marble/fund/detail/achievement.do?s_rflg=1&Param6=202312137&int_fd=fund:psearch:search_result
ＧＳ－ＧＳフューチャー・テクノロジー・リーダーズＢ為替ヘッジなし	ゴールドマン・サックス・アセット・マネジメント	-19.59%	2020/02/25	無期限	1.7875％	328,797百万円	テクノロジーの活用、発展により恩恵を受け、将来のリーダーになると期待される、日本を含む世界の株式へ投資します。「よりよい投資収益は、長期にわたって成長性の高い事業へ投資することにより獲得される」との投資哲学のもと、個別銘柄の分析を重視したボトムアップ手法により銘柄選択を行います。原則として為替ヘッジは行いません。	https://site0.sbisec.co.jp//marble/fund/detail/achievement.do?s_rflg=1&Param6=235312202&int_fd=fund:psearch:search_result
